n,R,T,config_norm,median_time_ms,solved_rate
300,0.4,0.8,szwarc,7.6525,1.0
300,0.6,0.2,adaptive_v1,0.0052,1.0
300,0.6,0.2,adaptive_v2,0.0052,1.0
300,0.6,0.2,adaptive_v3,0.0055,1.0
300,0.6,0.2,both,0.0059,1.0
300,0.6,0.2,lawler,0.0057,1.0
300,0.6,0.2,szwarc,0.005350000000000001,1.0
300,0.6,0.4,adaptive_v1,11.4164,1.0
300,0.6,0.4,adaptive_v2,25.40955,1.0
300,0.6,0.4,adaptive_v3,24.786949999999997,1.0
300,0.6,0.4,both,11.9864,1.0
300,0.6,0.4,lawler,11.53965,1.0
300,0.6,0.4,szwarc,27.5246,1.0
300,0.6,0.6,adaptive_v1,128.78485,1.0
300,0.6,0.6,adaptive_v2,311.8923,1.0
300,0.6,0.6,adaptive_v3,313.01765,1.0
300,0.6,0.6,both,184.20105,1.0
300,0.6,0.6,lawler,130.8252,1.0
300,0.6,0.6,szwarc,388.2738,1.0
300,0.6,0.8,adaptive_v1,1.2166000000000001,1.0
300,0.6,0.8,adaptive_v2,1.5819999999999999,1.0
300,0.6,0.8,adaptive_v3,1.55995,1.0
300,0.6,0.8,both,0.9015500000000001,1.0
300,0.6,0.8,lawler,1.20315,1.0
300,0.6,0.8,szwarc,1.1175000000000002,1.0
300,0.8,0.2,adaptive_v1,0.0056,1.0
300,0.8,0.2,adaptive_v2,0.0074,1.0
300,0.8,0.2,adaptive_v3,0.0052499999999999995,1.0
300,0.8,0.2,both,0.005350000000000001,1.0
300,0.8,0.2,lawler,0.005549999999999999,1.0
300,0.8,0.2,szwarc,0.0055,1.0
300,0.8,0.4,adaptive_v1,0.07035,1.0
300,0.8,0.4,adaptive_v2,0.20895,1.0
300,0.8,0.4,adaptive_v3,0.22815,1.0
300,0.8,0.4,both,0.08365,1.0
300,0.8,0.4,lawler,0.07244999999999999,1.0
300,0.8,0.4,szwarc,2.2167000000000003,1.0
300,0.8,0.6,adaptive_v1,21.764899999999997,1.0
300,0.8,0.6,adaptive_v2,38.56685,1.0
300,0.8,0.6,adaptive_v3,39.6846,1.0
300,0.8,0.6,both,29.586550000000003,1.0
300,0.8,0.6,lawler,20.7957,1.0
300,0.8,0.6,szwarc,47.098749999999995,1.0
300,0.8,0.8,adaptive_v1,1.0877,1.0
300,0.8,0.8,adaptive_v2,1.3864,1.0
300,0.8,0.8,adaptive_v3,1.45525,1.0
300,0.8,0.8,both,0.92205,1.0
300,0.8,0.8,lawler,1.0518999999999998,1.0
300,0.8,0.8,szwarc,1.0082499999999999,1.0
300,1.0,0.2,adaptive_v1,0.006699999999999999,1.0
300,1.0,0.2,adaptive_v2,0.00655,1.0
300,1.0,0.2,adaptive_v3,0.0052,1.0
300,1.0,0.2,both,0.006200000000000001,1.0
300,1.0,0.2,lawler,0.005549999999999999,1.0
300,1.0,0.2,szwarc,0.0063999999999999994,1.0
300,1.0,0.4,adaptive_v1,0.00565,1.0
300,1.0,0.4,adaptive_v2,0.005350000000000001,1.0
300,1.0,0.4,adaptive_v3,0.0055,1.0
300,1.0,0.4,both,0.00515,1.0
300,1.0,0.4,lawler,0.0054,1.0
300,1.0,0.4,szwarc,0.0053,1.0
300,1.0,0.6,adaptive_v1,1.63925,1.0
300,1.0,0.6,adaptive_v2,2.25415,1.0
300,1.0,0.6,adaptive_v3,2.41725,1.0
300,1.0,0.6,both,1.7796,1.0
300,1.0,0.6,lawler,1.59435,1.0
300,1.0,0.6,szwarc,2.7941000000000003,1.0
300,1.0,0.8,adaptive_v1,0.9828,1.0
300,1.0,0.8,adaptive_v2,1.3885,1.0
300,1.0,0.8,adaptive_v3,1.4289,1.0
300,1.0,0.8,both,0.9449,1.0
300,1.0,0.8,lawler,0.97795,1.0
300,1.0,0.8,szwarc,1.0909,1.0
400,0.2,0.2,adaptive_v1,55.07325,1.0
400,0.2,0.2,adaptive_v2,94.28460000000001,1.0
400,0.2,0.2,adaptive_v3,87.7698,1.0
400,0.2,0.2,both,48.1699,1.0
400,0.2,0.2,lawler,53.71425,1.0
400,0.2,0.2,szwarc,116.2856,1.0
400,0.2,0.4,adaptive_v1,2904.9128,1.0
400,0.2,0.4,adaptive_v2,3542.9762,1.0
400,0.2,0.4,adaptive_v3,3163.38575,1.0
400,0.2,0.4,both,2493.51915,1.0
400,0.2,0.4,lawler,2896.3241500000004,1.0
400,0.2,0.4,szwarc,6071.63005,1.0
400,0.2,0.6,adaptive_v1,7809.2661,1.0
400,0.2,0.6,adaptive_v2,8873.0753,1.0
400,0.2,0.6,adaptive_v3,7392.8885,1.0
400,0.2,0.6,both,7204.73085,1.0
400,0.2,0.6,lawler,7782.18485,1.0
400,0.2,0.6,szwarc,13502.279050000001,1.0
400,0.2,0.8,adaptive_v1,2550.06685,1.0
400,0.2,0.8,adaptive_v2,3243.7595499999998,1.0
400,0.2,0.8,adaptive_v3,3024.9395,1.0
400,0.2,0.8,both,2759.6473,1.0
400,0.2,0.8,lawler,2603.1292,1.0
400,0.2,0.8,szwarc,4688.60105,1.0
400,0.4,0.2,adaptive_v1,0.0069,1.0
400,0.4,0.2,adaptive_v2,0.00605,1.0
400,0.4,0.2,adaptive_v3,0.0072,1.0
400,0.4,0.2,both,0.00605,1.0
400,0.4,0.2,lawler,0.006200000000000001,1.0
400,0.4,0.2,szwarc,0.006,1.0
400,0.4,0.4,adaptive_v1,316.62175,1.0
400,0.4,0.4,adaptive_v2,631.22765,1.0
400,0.4,0.4,adaptive_v3,531.63905,1.0
400,0.4,0.4,both,336.0327,1.0
400,0.4,0.4,lawler,311.5511,1.0
400,0.4,0.4,szwarc,891.11075,1.0
400,0.4,0.6,adaptive_v1,2166.9484,1.0
400,0.4,0.6,adaptive_v2,3767.84935,1.0
400,0.4,0.6,adaptive_v3,3437.73315,1.0
400,0.4,0.6,both,2513.51825,1.0
400,0.4,0.6,lawler,2162.2559499999998,1.0
400,0.4,0.6,szwarc,5765.0225,1.0
400,0.4,0.8,adaptive_v1,16.16435,1.0
400,0.4,0.8,adaptive_v2,29.4713,1.0
400,0.4,0.8,adaptive_v3,28.84195,1.0
400,0.4,0.8,both,20.27815,1.0
400,0.4,0.8,lawler,15.2343,1.0
400,0.4,0.8,szwarc,35.57155,1.0
400,0.6,0.2,adaptive_v1,0.006500000000000001,1.0
400,0.6,0.2,adaptive_v2,0.0059,1.0
400,0.6,0.2,adaptive_v3,0.00595,1.0
400,0.6,0.2,both,0.00645,1.0
400,0.6,0.2,lawler,0.00605,1.0
400,0.6,0.2,szwarc,0.00605,1.0
400,0.6,0.4,adaptive_v1,26.918100000000003,1.0
400,0.6,0.4,adaptive_v2,51.06595,1.0
