source_file,config_norm,n,R,T,seed,solve_only_time_ms,solve_with_reconstruction_time_ms,overhead_ms,overhead_percent,wall_overhead_ms,wall_overhead_percent,actual_reconstruction_time_ms,solve_only_memory_mb,objective_match,order_valid,memory_mb,memory_ratio_to_solve_only,trace_hits,trace_fallbacks
C:\c++\test2\results\reconstruction_overhead\raw_results.csv,old_solve_with_reconstruction,100,0.2,0.6,4,61.6738,59.8966,-1.7772000000000006,-2.881612613459849,11.114,16.255,,,True,True,,,,
C:\c++\test2\results\reconstruction_overhead\raw_results.csv,old_solve_with_reconstruction,100,0.2,0.4,0,7.0288,7.1405,0.11169999999999991,1.5891759617573398,2.455,18.223,,,True,True,,,,
C:\c++\test2\results\reconstruction_overhead\raw_results.csv,old_solve_with_reconstruction,100,0.2,0.4,1,10.6643,10.6245,-0.03980000000000139,-0.3732078054818543,2.694,15.366,,,True,True,,,,
C:\c++\test2\results\reconstruction_overhead\raw_results.csv,old_solve_with_reconstruction,100,0.2,0.4,2,6.3182,6.3239,0.005700000000000038,0.09021556772498557,2.134,16.656,,,True,True,,,,
C:\c++\test2\results\reconstruction_overhead\raw_results.csv,old_solve_with_reconstruction,100,0.2,0.4,3,8.0917,8.1236,0.03190000000000026,0.3942311257214215,2.77,19.08,,,True,True,,,,
C:\c++\test2\results\reconstruction_overhead\raw_results.csv,old_solve_with_reconstruction,100,0.2,0.4,4,23.3526,23.4786,0.12600000000000122,0.5395544821561677,2.007,6.651,,,True,True,,,,
C:\c++\test2\results\reconstruction_overhead\raw_results.csv,old_solve_with_reconstruction,100,0.4,0.6,0,10.43,10.4564,0.026400000000000645,0.2531160115052794,2.189,13.003,,,True,True,,,,
C:\c++\test2\results\reconstruction_overhead\raw_results.csv,old_solve_with_reconstruction,100,0.4,0.6,1,12.184,11.8711,-0.31289999999999907,-2.568122127380163,1.908,10.19,,,True,True,,,,
C:\c++\test2\results\reconstruction_overhead\raw_results.csv,old_solve_with_reconstruction,100,0.4,0.6,2,3.052,3.0654,0.013399999999999856,0.43905635648754443,2.279,23.911,,,True,True,,,,
C:\c++\test2\results\reconstruction_overhead\raw_results.csv,old_solve_with_reconstruction,100,0.4,0.6,3,3.1597,3.1619,0.002200000000000202,0.06962686330981428,3.46,35.714,,,True,True,,,,
C:\c++\test2\results\reconstruction_overhead\raw_results.csv,old_solve_with_reconstruction,100,0.4,0.6,4,30.6756,30.3746,-0.3009999999999984,-0.9812359008462699,5.105,13.733,,,True,True,,,,
C:\c++\test2\results\reconstruction_overhead\raw_results.csv,old_solve_with_reconstruction,300,0.2,0.6,0,2145.47,2157.02,11.550000000000182,0.5383435797284597,841.214,39.011,,,True,True,,,,
C:\c++\test2\results\reconstruction_overhead\raw_results.csv,old_solve_with_reconstruction,300,0.2,0.6,1,2297.11,2298.5,1.3899999999998727,0.06051081576415029,3205.414,138.867,,,True,True,,,,
C:\c++\test2\results\reconstruction_overhead\raw_results.csv,old_solve_with_reconstruction,300,0.2,0.6,2,1095.33,1086.13,-9.199999999999818,-0.8399295189577405,260.844,23.598,,,True,True,,,,
