source_file,source_scheme,series_norm,n,R,T,seed,instance_key,config_norm,status_norm,solved,objective_norm,time_ms_norm,timeout_sec_norm,penalized_time_ms,memory_peak_bytes_norm,nodes,process_memory_gate,possibly_process_gated,memo_exact_hits,memo_exact_queries,memo_lb_hits,memo_lb_queries,bound_time_ms,cleanup_time_ms,memo_cleanup_time_ms,memo_clean_time_ms,simple_lb_calls,simple_lb_prunes,memo_full_key_verification,enable_exact_memo,enable_memo,memory_limit_gb,memo_backend,enable_simple_lb,enable_lb_memo,enable_edd_ub,reconstruct_order,reconstruction_trace
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.4,0.4,5,50|R=0.4|T=0.4|seed=5|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.4_0.4_6.txt,ours_reconstruct,solved,True,2888.0,54.079,,54.079,1794048.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.4,0.4,6,50|R=0.4|T=0.4|seed=6|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.4_0.4_7.txt,ours_reconstruct,solved,True,3629.0,55.01,,55.01,1769472.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.4,0.4,7,50|R=0.4|T=0.4|seed=7|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.4_0.4_8.txt,ours_reconstruct,solved,True,3518.0,54.046,,54.046,1798144.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.4,0.4,8,50|R=0.4|T=0.4|seed=8|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.4_0.4_9.txt,ours_reconstruct,solved,True,3419.0,53.259,,53.259,1622016.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.4,0.4,9,50|R=0.4|T=0.4|seed=9|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.4_0.4_10.txt,ours_reconstruct,solved,True,3064.0,54.063,,54.063,1769472.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.4,0.6,0,50|R=0.4|T=0.6|seed=0|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.4_0.6_1.txt,ours_reconstruct,solved,True,11062.0,53.468,,53.468,1855488.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.4,0.6,1,50|R=0.4|T=0.6|seed=1|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.4_0.6_2.txt,ours_reconstruct,solved,True,7660.0,53.423,,53.423,1794048.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.4,0.6,2,50|R=0.4|T=0.6|seed=2|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.4_0.6_3.txt,ours_reconstruct,solved,True,9883.0,54.273,,54.273,1810432.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.4,0.6,3,50|R=0.4|T=0.6|seed=3|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.4_0.6_4.txt,ours_reconstruct,solved,True,11598.0,53.959,,53.959,1781760.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.4,0.6,4,50|R=0.4|T=0.6|seed=4|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.4_0.6_5.txt,ours_reconstruct,solved,True,10622.0,54.226,,54.226,1781760.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.4,0.6,5,50|R=0.4|T=0.6|seed=5|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.4_0.6_6.txt,ours_reconstruct,solved,True,9370.0,53.337,,53.337,1757184.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.4,0.6,6,50|R=0.4|T=0.6|seed=6|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.4_0.6_7.txt,ours_reconstruct,solved,True,12000.0,54.093,,54.093,1728512.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.4,0.6,7,50|R=0.4|T=0.6|seed=7|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.4_0.6_8.txt,ours_reconstruct,solved,True,12015.0,53.582,,53.582,1671168.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.4,0.6,8,50|R=0.4|T=0.6|seed=8|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.4_0.6_9.txt,ours_reconstruct,solved,True,11442.0,54.251,,54.251,1650688.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.4,0.6,9,50|R=0.4|T=0.6|seed=9|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.4_0.6_10.txt,ours_reconstruct,solved,True,10180.0,53.42,,53.42,1617920.0,,False,False,,,,,,,,,,,,,,,,,,,,
