R,T,n,rows,median_ours_wall_time_s,median_article_wall_time_s,median_ours_peak_gb,median_article_peak_gb,median_time_ratio,median_memory_ratio
0.6,0.8,1100,10,0.0623975,0.054899,0.001712799072265625,0.0016880035400390625,1.130115,1.0068329999999999
0.8,0.2,50,10,0.05377850000000001,0.053375,0.00162506103515625,0.001689910888671875,1.005137,0.9510675
0.8,0.2,100,10,0.0537975,0.053279499999999994,0.00167083740234375,0.001689910888671875,1.0076245,0.9898315
0.8,0.2,200,10,0.0537135,0.053303,0.001651763916015625,0.0016765594482421875,1.005396,0.9806465
0.8,0.2,300,10,0.053850499999999996,0.0533605,0.001674652099609375,0.001708984375,1.0103529999999998,0.9992985
0.8,0.2,400,10,0.0630185,0.060236,0.0018138885498046875,0.00168609619140625,1.0428865,1.0955685
0.8,0.2,500,10,0.0630645,0.0602035,0.0020351409912109375,0.0016765594482421875,1.0452765,1.2208860000000001
0.8,0.2,600,10,0.062994,0.060072,0.001979827880859375,0.001678466796875,1.0480225,1.1809985
0.8,0.2,700,10,0.063062,0.0601165,0.00201416015625,0.0016841888427734375,1.047208,1.2054835000000002
0.8,0.2,800,10,0.0626685,0.060153,0.002063751220703125,0.0016937255859375,1.0433885,1.221219
0.8,0.2,900,10,0.0627675,0.060025499999999996,0.00203704833984375,0.00168609619140625,1.044704,1.1865125
0.8,0.2,1000,10,0.0626025,0.060065499999999994,0.001880645751953125,0.001689910888671875,1.0413445000000001,1.112867
0.8,0.2,1100,10,0.0586715,0.054135,0.001674652099609375,0.001678466796875,1.090811,1.0023355
0.8,0.4,50,10,0.053941,0.0532605,0.0016384124755859375,0.00168609619140625,1.0107724999999999,0.965947
0.8,0.4,100,10,0.053387500000000004,0.0533705,0.0016326904296875,0.001689910888671875,1.001417,0.96614
0.8,0.4,200,10,0.053644,0.053245,0.0016231536865234375,0.001689910888671875,1.0046335,0.946359
0.8,0.4,300,10,0.053857,0.053349,0.0016536712646484375,0.0016880035400390625,1.009857,0.978881
0.8,0.4,400,10,0.0628785,0.0601955,0.0020351409912109375,0.001682281494140625,1.0466959999999998,1.2071839999999998
0.8,0.4,500,10,0.063197,0.0601675,0.002017974853515625,0.00168609619140625,1.0498135,1.184347
0.8,0.4,600,10,0.06293,0.060113,0.00211334228515625,0.0016841888427734375,1.0479275000000001,1.2370670000000001
0.8,0.4,700,10,0.0629,0.060116,0.00217437744140625,0.0016841888427734375,1.045901,1.262139
0.8,0.4,800,10,0.06278,0.0601325,0.0021648406982421875,0.001720428466796875,1.0446715000000002,1.2225134999999998
0.8,0.4,900,10,0.06283,0.0600495,0.00209808349609375,0.0016880035400390625,1.0441325,1.2429320000000001
0.8,0.4,1000,10,0.0625115,0.060048000000000004,0.001819610595703125,0.001689910888671875,1.0408575,1.043755
0.8,0.4,1100,10,0.059325,0.053767499999999996,0.001667022705078125,0.0016937255859375,1.1048135000000001,0.9940844999999999
